FishStock,Year,var,value,Advice.Year
HAD,2015,Catch,15239,2017
HAD,2016,Catch,17931,2017
HAD,2017,Catch,14995,2017
HAD,1993,F,1.09,2017
HAD,1994,F,1.05,2017
HAD,1995,F,0.85,2017
HAD,1996,F,0.83,2017
HAD,1997,F,0.69,2017
HAD,1998,F,0.75,2017
HAD,1999,F,0.52,2017
HAD,2000,F,0.65,2017
HAD,2001,F,0.69,2017
HAD,2002,F,1.25,2017
HAD,2003,F,0.64,2017
HAD,2004,F,0.77,2017
HAD,2005,F,0.81,2017
HAD,2006,F,0.51,2017
HAD,2007,F,0.4,2017
HAD,2008,F,0.72,2017
HAD,2009,F,0.57,2017
HAD,2010,F,0.59,2017
HAD,2011,F,0.45,2017
HAD,2012,F,0.57,2017
HAD,2013,F,0.5,2017
HAD,2014,F,0.53,2017
HAD,2015,F,0.52,2017
HAD,2016,F,0.67,2017
HAD,2017,F,0.58,2017
HAD,1993,SSB,7450,2016
HAD,1994,SSB,7889,2016
HAD,1995,SSB,7276,2016
HAD,1996,SSB,19341,2016
HAD,1997,SSB,28135,2016
HAD,1998,SSB,22059,2016
HAD,1999,SSB,13784,2016
HAD,2000,SSB,16932,2016
HAD,2001,SSB,28701,2016
HAD,2002,SSB,35681,2016
HAD,2003,SSB,24770,2016
HAD,2004,SSB,42993,2016
HAD,2005,SSB,29134,2016
HAD,2006,SSB,23299,2016
HAD,2007,SSB,24568,2016
HAD,2008,SSB,23584,2016
HAD,2009,SSB,35897,2016
HAD,2010,SSB,37011,2016
HAD,2011,SSB,84951,2016
HAD,2012,SSB,67709,2016
HAD,2013,SSB,40295,2016
HAD,2014,SSB,24534,2016
HAD,2015,SSB,38229,2016
HAD,2016,SSB,26082,2016
HAD,1993,Catch,4556,2016
HAD,1994,Catch,6017,2016
HAD,1995,Catch,6688,2016
HAD,1996,Catch,11065,2016
HAD,1997,Catch,13710,2016
HAD,1998,Catch,8862,2016
HAD,1999,Catch,5556,2016
HAD,2000,Catch,10002,2016
HAD,2001,Catch,12696,2016
HAD,2002,Catch,13561,2016
HAD,2003,Catch,17748,2016
HAD,2004,Catch,15527,2016
HAD,2005,Catch,11978,2016
HAD,2006,Catch,8077,2016
HAD,2007,Catch,9520,2016
HAD,2008,Catch,18642,2016
HAD,2009,Catch,18688,2016
HAD,2010,Catch,26809,2016
HAD,2011,Catch,27257,2016
HAD,2012,Catch,28567,2016
HAD,2013,Catch,15509,2016
HAD,2014,Catch,13031,2016
HAD,2015,Catch,15239,2016
HAD,2016,Catch,13542,2016
HAD,1993,F,1.083,2016
HAD,1994,F,1.045,2016
HAD,1995,F,0.851,2016
HAD,1996,F,0.827,2016
HAD,1997,F,0.68,2016
HAD,1998,F,0.753,2016
HAD,1999,F,0.523,2016
HAD,2000,F,0.649,2016
HAD,2001,F,0.685,2016
HAD,2002,F,1.246,2016
HAD,2003,F,0.632,2016
HAD,2004,F,0.77,2016
HAD,2005,F,0.802,2016
HAD,2006,F,0.513,2016
HAD,2007,F,0.403,2016
HAD,2008,F,0.721,2016
HAD,2009,F,0.562,2016
HAD,2010,F,0.591,2016
HAD,2011,F,0.448,2016
HAD,2012,F,0.577,2016
HAD,2013,F,0.504,2016
HAD,2014,F,0.531,2016
HAD,2015,F,0.519,2016
HAD,2016,F,0.518,2016
HAD,1993,SSB,7423,2015
HAD,1994,SSB,7824,2015
HAD,1995,SSB,7164,2015
HAD,1996,SSB,19084,2015
HAD,1997,SSB,27808,2015
HAD,1998,SSB,21732,2015
HAD,1999,SSB,13514,2015
HAD,2000,SSB,16587,2015
HAD,2001,SSB,28280,2015
HAD,2002,SSB,35180,2015
HAD,2003,SSB,24309,2015
HAD,2004,SSB,42346,2015
HAD,2005,SSB,28356,2015
HAD,2006,SSB,22849,2015
HAD,2007,SSB,24065,2015
